date,stateId,stateName,confidence,distance,close,volatilityMultiple,volumeMultiple,trendScore,resonanceCount,middleDeviationRate,middleDeviationAtr,middlePositionPct,maDeviationRate,maDeviationAtr,maPositionPct,stretchHeat
2024-10-31,6,上侧趋势共振态,0.1009,2.531,69393.8,1.2848,1.5313,4.6589,4,2.1921,0.6816,48.0697,8.4342,2.4714,35.0475,16.8828
2024-11-01,6,上侧趋势共振态,0.0552,2.2327,69403.2,0.7923,0.6905,4.1157,4,2.2059,0.6968,48.288,8.4595,2.5181,35.3475,16.3645
2024-11-02,6,上侧趋势共振态,0.026,2.4172,68102.3,1.0061,0.7446,3.9817,4,0.1996,0.0631,39.2207,6.427,1.9122,31.4595,29.3198
2024-11-03,3,低波动压缩态,0.2176,2.1566,68636.5,0.8632,0.8732,3.2001,4,-0.9042,-0.2942,34.1084,7.26,2.1828,33.1959,32.6957
2024-11-04,0,放量波动扩张态,0.2196,2.4938,69638,1.5876,1.2223,4.9653,4,0.2083,0.0649,39.2474,8.813,2.5303,35.4253,25.3273
2024-11-05,4,放量波动扩张态,0.2941,4.1288,74296.1,2.6634,3.0637,8.8823,4,5.5987,1.541,60.3667,16.0383,4.0174,44.9676,15.3991
2024-11-06,5,上侧趋势共振态,0.1318,1.9552,76059.9,0.9034,1.1933,11.3903,4,7.3928,2.0636,67.8431,18.6975,4.7221,49.4895,18.3536
2024-11-07,5,上侧趋势共振态,0.099,2.4011,76415.1,0.569,1.0721,12.5717,4,7.545,2.183,69.5508,19.1496,5.0009,51.2786,20.8294
2024-11-08,5,上侧趋势共振态,0.1145,2.4262,76313.8,0.5867,0.656,12.6865,4,7.1642,2.1434,68.9854,18.9142,5.0998,51.9131,20.8985
2024-11-09,4,放量波动扩张态,0.2543,2.8996,79700,1.8068,1.3831,16.9228,4,9.5337,2.7336,77.4295,24.0595,6.0909,58.2731,35.7025
2024-11-10,4,放量波动扩张态,0.5179,2.3546,84097.3,2.1022,1.846,23.094,4,12.4483,3.3576,86.3571,30.7384,7.131,64.9469,51.304
2024-11-11,4,放量波动扩张态,0.4803,3.3939,86600,2.0294,3.2797,26.5933,4,11.5857,2.986,81.0407,34.4415,7.3676,66.4654,47.5061
2024-11-12,4,放量波动扩张态,0.1903,5.2136,92561.2,2.1234,1.7197,36.3715,4,17.1944,4.1202,97.2679,43.4783,8.5099,73.7951,71.0631
2024-11-13,4,放量波动扩张态,0.1457,3.4054,87965.9,1.6014,1.8071,26.4236,4,10.6768,2.4555,73.4499,36.1947,6.7645,62.5955,36.0454
2024-11-14,1,上侧趋势拉伸共振态,0.3952,2.8811,88441.6,1.164,1.225,25.8753,4,11.2753,2.5604,74.9513,36.7535,6.7911,62.7662,37.7175
2024-11-15,1,上侧趋势拉伸共振态,0.4742,3.1924,90527.4,0.9996,0.7149,30.0286,4,13.0462,2.985,81.0264,39.8004,7.3637,66.4405,47.4669
2024-11-16,1,上侧趋势拉伸共振态,0.4652,3.0552,90262.4,0.6336,0.5321,27.9505,4,12.6986,2.9878,81.0664,39.1969,7.4669,67.1023,48.1687
2024-11-17,1,上侧趋势拉伸共振态,0.49,2.7819,92367.9,1.1515,0.9529,28.2094,4,15.3275,3.5643,89.3147,42.2336,7.9633,70.288,59.6027
2024-11-18,1,上侧趋势拉伸共振态,0.6769,1.5707,92398,0.9202,1.1395,21.5625,4,15.365,3.595,89.7535,42.0734,7.9934,70.4811,60.2346
2024-11-19,1,上侧趋势拉伸共振态,0.6446,1.9144,94721.6,1.0338,1.1345,22.7814,4,17.1995,4.0503,96.2676,45.3922,8.6166,74.4797,70.7472
2024-11-20,1,上侧趋势拉伸共振态,0.2877,3.072,96687.4,1.4904,1.5077,22.9172,4,17.0163,3.9422,94.7204,48.0994,8.8044,75.685,70.4054
2024-11-21,1,上侧趋势拉伸共振态,0.5384,2.9571,98650.9,0.8959,1.0952,28.1057,4,18.6409,4.3807,100,50.7818,9.3901,79.4429,79.4429
2024-11-22,1,上侧趋势拉伸共振态,0.521,3.2319,98404.6,0.4152,0.5242,25.815,4,18.2375,4.4827,100,50.1025,9.7008,81.4366,81.4366
2024-11-23,1,上侧趋势拉伸共振态,0.6054,2.0617,95956.1,0.8051,0.5618,20.8541,4,15.2955,3.816,90.689,46.1022,9.0766,77.4312,68.1202
2024-11-24,1,上侧趋势拉伸共振态,0.5629,2.1696,96000.1,1.2761,0.9151,19.7987,4,15.3483,3.7479,89.7377,45.9034,8.8616,76.0519,65.7896
