indicator,indicatorKey,horizon,lowOccurrences,highOccurrences,lowValueMedian,highValueMedian,lowAvgReturnPct,highAvgReturnPct,highMinusLowReturnPct,lowAvgAbsReturnPct,highAvgAbsReturnPct,highMinusLowAbsReturnPct,lowAvgExcursionPct,highAvgExcursionPct,highMinusLowExcursionPct
振幅/13日ATR百分位,volatilityMultiple13Percentile,3,292,293,4.2466,94.4062,0.1061,0.6161,0.51,3.2074,4.2078,1.0004,6.8078,9.4811,2.6733
振幅/13日ATR百分位,volatilityMultiple13Percentile,5,292,293,4.2466,94.4062,0.3678,0.3878,0.02,4.4487,5.898,1.4493,9.066,12.7436,3.6776
振幅/13日ATR百分位,volatilityMultiple13Percentile,10,292,293,4.2466,94.4062,1.0972,1.7533,0.6561,6.5755,7.9728,1.3973,13.7672,17.169,3.4018
振幅/21日ATR,volatilityMultiple21,1,292,293,0.3913,2.0837,-0.174,0.0551,0.2291,1.7398,2.6496,0.9098,3.3507,6.5674,3.2167
振幅/21日ATR,volatilityMultiple21,3,292,293,0.3913,2.0837,0.0602,0.6476,0.5874,3.0328,4.424,1.3912,6.6003,9.8905,3.2902
振幅/21日ATR,volatilityMultiple21,5,292,293,0.3913,2.0837,0.3034,0.5467,0.2433,4.1554,5.9196,1.7642,8.7738,13.0526,4.2788
振幅/21日ATR,volatilityMultiple21,10,292,293,0.3913,2.0837,0.9128,1.8299,0.9171,6.3742,8.0251,1.6509,13.4507,17.4332,3.9825
振幅/21日ATR百分位,volatilityMultiple21Percentile,1,292,293,4.4977,94.484,-0.1645,0.0924,0.2569,1.7323,2.6307,0.8984,3.3456,6.5423,3.1967
振幅/21日ATR百分位,volatilityMultiple21Percentile,3,292,293,4.4977,94.484,0.0084,0.7207,0.7123,3.1067,4.3976,1.2909,6.6528,9.8761,3.2233
振幅/21日ATR百分位,volatilityMultiple21Percentile,5,292,293,4.4977,94.484,0.0906,0.5974,0.5068,4.3157,5.9209,1.6052,8.8681,13.0136,4.1455
振幅/21日ATR百分位,volatilityMultiple21Percentile,10,292,293,4.4977,94.484,0.5914,1.9543,1.3629,6.3704,8.0396,1.6692,13.496,17.3922,3.8962
振幅/3日ATR,volatilityMultiple3,1,292,293,0.5242,1.5917,-0.076,0.1807,0.2567,1.6817,2.4173,0.7356,3.6666,5.7797,2.1131
振幅/3日ATR,volatilityMultiple3,3,292,293,0.5242,1.5917,0.0264,0.8769,0.8505,3.4734,4.0326,0.5592,7.4367,8.7268,1.2901
振幅/3日ATR,volatilityMultiple3,5,292,293,0.5242,1.5917,0.4765,0.6821,0.2056,4.6654,5.7329,1.0675,9.596,11.6291,2.0331
振幅/3日ATR,volatilityMultiple3,10,292,292,0.5242,1.5924,0.9359,1.5517,0.6158,6.5113,8.2765,1.7652,13.7906,16.527,2.7364
振幅/3日ATR百分位,volatilityMultiple3Percentile,1,292,293,4.0038,94.6154,-0.1106,0.1876,0.2982,1.6805,2.4164,0.7359,3.6587,5.7567,2.098
振幅/3日ATR百分位,volatilityMultiple3Percentile,3,292,293,4.0038,94.6154,-0.0383,0.9274,0.9657,3.4339,3.9967,0.5628,7.3506,8.6731,1.3225
振幅/3日ATR百分位,volatilityMultiple3Percentile,5,292,293,4.0038,94.6154,0.2518,0.7493,0.4975,4.5648,5.7287,1.1639,9.502,11.6082,2.1062
振幅/3日ATR百分位,volatilityMultiple3Percentile,10,292,292,4.0038,94.6312,0.6937,1.4641,0.7704,6.4526,8.2703,1.8177,13.7125,16.4881,2.7756
振幅/8日ATR,volatilityMultiple8,1,292,293,0.444,1.85,-0.1428,0.1917,0.3345,1.7687,2.4656,0.6969,3.5026,6.0941,2.5915
振幅/8日ATR,volatilityMultiple8,3,292,293,0.444,1.85,-0.0023,0.7002,0.7025,3.3334,4.1104,0.777,7.0412,9.1357,2.0945
振幅/8日ATR,volatilityMultiple8,5,292,293,0.444,1.85,0.2035,0.5995,0.396,4.4203,5.8567,1.4364,9.18,12.2952,3.1152
振幅/8日ATR,volatilityMultiple8,10,292,293,0.444,1.85,0.6261,1.5373,0.9112,6.6236,7.9859,1.3623,13.82,16.6321,2.8121
振幅/8日ATR百分位,volatilityMultiple8Percentile,1,292,293,3.8876,94.7279,-0.1014,0.1644,0.2658,1.8108,2.477,0.6662,3.5788,6.0924,2.5136
振幅/8日ATR百分位,volatilityMultiple8Percentile,3,292,293,3.8876,94.7279,-0.0389,0.6283,0.6672,3.3689,4.1461,0.7772,7.0901,9.1259,2.0358
振幅/8日ATR百分位,volatilityMultiple8Percentile,5,292,293,3.8876,94.7279,0.1071,0.5161,0.409,4.4848,5.8318,1.347,9.2995,12.2502,2.9507
振幅/8日ATR百分位,volatilityMultiple8Percentile,10,292,293,3.8876,94.7279,0.5989,1.5004,0.9015,6.5946,7.9696,1.375,13.8564,16.6004,2.744
振幅率,rangePct,1,291,293,1.3256,10.3826,-0.1114,0.3543,0.4657,1.3219,3.1975,1.8756,2.6607,8.1595,5.4988
振幅率,rangePct,3,291,293,1.3256,10.3826,0.3518,1.1539,0.8021,2.8482,5.1399,2.2917,5.7136,12.6315,6.9179
