stateId,stateName,routeLabel,routeKey,light,signalType,horizon,occurrences,avgScore,successRatePct,directionalWinRatePct,avgRouteReturnPct,avgFutureReturnPct,rankScore
1,放量波动扩张态,低吸均值回归,meanReversionLong,红灯,位置回归信号,5,291,30.72,45.7,52.23,0.2634,0.2634,27.85
1,放量波动扩张态,低吸均值回归,meanReversionLong,红灯,位置回归信号,1,291,30.72,42.61,54.3,0.17,0.17,27.41
1,放量波动扩张态,低吸均值回归,meanReversionLong,红灯,位置回归信号,3,291,30.72,41.58,51.55,0.2043,0.2043,25.5
1,放量波动扩张态,向下突破,breakoutDown,红灯,波动方向信号,1,291,65.48,15.12,45.7,2.7433,0.17,21.72
1,放量波动扩张态,向上突破,breakoutUp,红灯,波动方向信号,1,291,38.77,9.62,54.3,2.5773,0.17,18.82
1,放量波动扩张态,高抛均值回归,meanReversionShort,红灯,位置回归信号,5,291,11.25,10.31,47.77,-0.2634,0.2634,4.91
1,放量波动扩张态,高抛均值回归,meanReversionShort,红灯,位置回归信号,3,291,11.25,8.93,48.45,-0.2043,0.2043,4.79
1,放量波动扩张态,高抛均值回归,meanReversionShort,红灯,位置回归信号,10,291,11.25,8.93,46.74,-0.1555,0.1555,3.94
1,放量波动扩张态,高抛均值回归,meanReversionShort,红灯,位置回归信号,1,291,11.25,8.93,45.7,-0.17,0.17,3.34
6,上侧趋势共振态,向上突破,breakoutUp,绿灯,波动方向信号,10,180,83.38,67.78,59.44,12.946,3.9434,95.7
6,上侧趋势共振态,趋势追多,trendLong,绿灯,方向信号,10,180,98.36,59.44,59.44,3.9434,3.9434,87.54
6,上侧趋势共振态,趋势追多,trendLong,绿灯,方向信号,3,180,98.36,60,60,1.1852,1.1852,82.58
6,上侧趋势共振态,趋势追多,trendLong,绿灯,方向信号,5,180,98.36,56.67,56.67,2.318,2.318,81.51
6,上侧趋势共振态,趋势追多,trendLong,绿灯,方向信号,1,180,98.36,55,55,0.5164,0.5164,76.24
6,上侧趋势共振态,向上突破,breakoutUp,黄灯,波动方向信号,5,180,83.38,57.78,56.67,8.4788,2.318,74.68
6,上侧趋势共振态,震荡网格,gridNeutral,绿灯,震荡状态信号,1,180,3.82,82.22,,-3.1276,0.5164,61.43
6,上侧趋势共振态,向下突破,breakoutDown,黄灯,波动方向信号,10,180,31.03,62.22,40.56,9.2399,3.9434,58.39
6,上侧趋势共振态,防守等待,waitDefense,黄灯,风险过滤信号,10,180,33.1,65.56,,2.6791,3.9434,55.82
6,上侧趋势共振态,向上突破,breakoutUp,红灯,波动方向信号,3,180,83.38,43.89,60,6.4305,1.1852,53.12
6,上侧趋势共振态,高抛均值回归,meanReversionShort,黄灯,位置回归信号,10,180,58.28,67.78,40.56,-3.9434,3.9434,42.91
6,上侧趋势共振态,震荡网格,gridNeutral,黄灯,震荡状态信号,3,180,3.82,76.67,,-5.7251,1.1852,38.74
6,上侧趋势共振态,震荡网格,gridNeutral,黄灯,震荡状态信号,10,180,3.82,81.67,,-9.3016,3.9434,37.44
6,上侧趋势共振态,向下突破,breakoutDown,红灯,波动方向信号,5,180,31.03,45.56,43.33,7.1579,2.318,36.74
6,上侧趋势共振态,震荡网格,gridNeutral,黄灯,震荡状态信号,5,180,3.82,74.44,,-6.8219,2.318,35.54
6,上侧趋势共振态,防守等待,waitDefense,观察,风险过滤信号,5,180,33.1,55,,2.2519,2.318,35.21
6,上侧趋势共振态,向上突破,breakoutUp,红灯,波动方向信号,1,180,83.38,18.33,55,3.5277,0.5164,33.06
6,上侧趋势共振态,防守等待,waitDefense,观察,风险过滤信号,3,180,33.1,48.33,,2.27,1.1852,32.25
