status,path,instrument,bar,cleanRows,snapshotCount,dataStatus,historyQuality,periodWeight,observationRows,environmentCounts
ok,/Users/guanlan/Desktop/--whd/data/clean/ENS_USDT_4H_clean.json,ENS-USDT,4H,10000,9768,ok,half_weight,0.7,25213,"{'RANGE': 4148, 'TREND': 18110, 'CHAOS': 2955}"
ok,/Users/guanlan/Desktop/--whd/data/clean/PENDLE_USDT_4H_clean.json,PENDLE-USDT,4H,3681,3449,ok,half_weight,0.7,9561,"{'TREND': 7265, 'CHAOS': 1080, 'RANGE': 1216}"
ok,/Users/guanlan/Desktop/--whd/data/clean/JUP_USDT_4H_clean.json,JUP-USDT,4H,5119,4887,ok,half_weight,0.7,13150,"{'TREND': 10302, 'CHAOS': 1280, 'RANGE': 1568}"
ok,/Users/guanlan/Desktop/--whd/data/clean/PYTH_USDT_4H_clean.json,PYTH-USDT,4H,5551,5319,ok,half_weight,0.7,13869,"{'CHAOS': 1397, 'TREND': 10825, 'RANGE': 1647}"
ok,/Users/guanlan/Desktop/--whd/data/clean/TIA_USDT_4H_clean.json,TIA-USDT,4H,5670,5438,ok,half_weight,0.7,14377,"{'RANGE': 1668, 'TREND': 11325, 'CHAOS': 1384}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ONDO_USDT_4H_clean.json,ONDO-USDT,4H,4040,3808,ok,half_weight,0.7,10102,"{'TREND': 7413, 'CHAOS': 1198, 'RANGE': 1491}"
ok,/Users/guanlan/Desktop/--whd/data/clean/FET_USDT_4H_clean.json,FET-USDT,4H,5528,5296,ok,half_weight,0.7,14282,"{'TREND': 11144, 'CHAOS': 1354, 'RANGE': 1784}"
ok,/Users/guanlan/Desktop/--whd/data/clean/PEPE_USDT_4H_clean.json,PEPE-USDT,4H,6770,6538,ok,half_weight,0.7,17486,"{'TREND': 13532, 'CHAOS': 1650, 'RANGE': 2304}"
ok,/Users/guanlan/Desktop/--whd/data/clean/SHIB_USDT_4H_clean.json,SHIB-USDT,4H,11109,10877,ok,half_weight,0.7,26901,"{'TREND': 17129, 'CHAOS': 3415, 'RANGE': 6357}"
ok,/Users/guanlan/Desktop/--whd/data/clean/BONK_USDT_4H_clean.json,BONK-USDT,4H,5259,5027,ok,half_weight,0.7,13430,"{'TREND': 10585, 'RANGE': 1603, 'CHAOS': 1242}"
ok,/Users/guanlan/Desktop/--whd/data/clean/FLOKI_USDT_4H_clean.json,FLOKI-USDT,4H,7586,7354,ok,half_weight,0.7,19574,"{'TREND': 14646, 'CHAOS': 1844, 'RANGE': 3084}"
ok,/Users/guanlan/Desktop/--whd/data/clean/WIF_USDT_4H_clean.json,WIF-USDT,4H,4670,4438,ok,half_weight,0.7,11764,"{'RANGE': 1173, 'TREND': 9475, 'CHAOS': 1116}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ORDI_USDT_4H_clean.json,ORDI-USDT,4H,6655,6423,ok,half_weight,0.7,17672,"{'TREND': 13697, 'CHAOS': 1763, 'RANGE': 2212}"
ok,/Users/guanlan/Desktop/--whd/data/clean/SATS_USDT_4H_clean.json,SATS-USDT,4H,5384,5152,ok,half_weight,0.7,13772,"{'TREND': 10388, 'CHAOS': 1368, 'RANGE': 2016}"
ok,/Users/guanlan/Desktop/--whd/data/clean/NOT_USDT_4H_clean.json,NOT-USDT,4H,4483,4251,ok,half_weight,0.7,10655,"{'TREND': 8204, 'CHAOS': 1039, 'RANGE': 1412}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ENA_USDT_4H_clean.json,ENA-USDT,4H,1551,1319,ok,half_weight,0.7,3366,"{'RANGE': 400, 'TREND': 2618, 'CHAOS': 348}"
